latitude,longitude,address,ny,beans_processor,wholesaler_distributor,primary_processor,secondary_processor,aggregator_cleaner,sold_to_nyc,mwbe,lrfs_business,outofstate_business,nyc_dashboard,simply_analytics,interview_data,sales_volume,total_employees,local_employees,locally_owned
42.87034953,-78.75033142,"1 Scrivner Dr Suite #1, Buffalo, NY 14227",1,0,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
42.11348245,-79.19108539,"2063 Allen St Ext, Falconer, NY 14733",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.91055095,-72.79309666,"347 Burman Blvd, Calverton, NY 11933",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.77838196,-73.2888848,"101 Wilshire Blvd, Brentwood, NY",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
43.08725037,-77.61463482,"900 Jefferson Road, Rochester, NY",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.66831622,-74.17069852,"1 Ikea Drive
Elizabeth, NJ 07207",0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
41.75126204,-73.96487837,"217 Upper North Road, Highland NY 12528",1,0,1,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA
42.4887657,-76.58242318,"1609 Trumansburg Rd, Ithaca, NY 14850",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
43.97033752,-75.93151153,"901 Rail Drive Watertown, NY 13601",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.63518015,-73.92955745,"4901 Gleenwood Road, Brooklyn, NY 11234",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
42.89895408,-73.77192192,"1 Liebich Lane Halfmoon, NY 12065",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.76826692,-73.17823504,"199 Lowell Avenue Central Islip, NY 11722",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.69794325,-74.05898123,"20 Theodore Conrad Drive Jersey City, NJ 07305",0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
43.08703869,-76.33397819,"2508 Warners Road Warners, NY 13164",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
41.30489022,-73.91388889,"1000 N Division St, Peekskill, NY 10566",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
41.4783847,-72.7998233,"30 Thurston Dr, Wallingford, CT 06492",0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
42.89709485,-73.78735639,"755 Pierce Rd, Clifton Park, NY 12065",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
42.8643696,-78.7567051,"125 Gardenville Parkway West
Buffalo, NY 14224",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.62869678,-73.65242727,"3400 Lawson Blvd, Oceanside, NY 11572",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.3747341,-74.4907604,"1 Industrial Rd Suite 199, Dayton, NJ 08810",0,1,0,1,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA
43.04214918,-74.35402034,"274 S Main St, Gloversville, NY 12078",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.8098909,-73.87667758,"155 Food Center Dr, The Bronx, NY 10474",1,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
43.15789001,-77.75257248,"150 Fedex Way, Rochester, NY 14624",1,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
39.7808195,-75.3660808,"2255 High Hill Rd. Bridgeport, NJ 08014",0,0,1,0,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA
40.80981986,-73.87794058,"240 Food Center Dr, Bronx, NY 10474",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
42.13677232,-80.04356121,"1717 E 12th St, Erie, PA 16511",0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
41.3237983,-74.39637903,"40 Stream Dr, Florida, NY 10921",1,0,1,1,0,0,1,0,1,0,1,1,1,NA,NA,NA,NA
40.89959468,-74.11450748,"9 Boumar Place, Elmwood Park, NJ 07407",0,1,0,0,1,0,1,0,0,1,1,0,0,NA,NA,NA,NA
40.99769866,-73.94294357,"10 Fairway Ct, Northvale, NJ 07647",0,0,1,0,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA
40.91356288,-76.81070775,"770 Cannery Rd, Northumberland, PA 17857",0,1,0,1,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA
42.96829734,-77.78620755,"4194 Cameron Rd, Caledonia, NY 14423",1,1,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA,NA
39.80890517,-76.94844813,"1125 Wilson Avenue, Hanover, PA 17331",0,1,1,0,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA
42.09244413,-73.8225512,"1931 US-9, Germantown, NY 12526",1,1,1,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA
40.74466109,-73.98740024,"246 5th Ave, New York, NY 10001",1,1,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA
40.8603783,-74.11605988,"1 Market St # 7, Passaic, NJ 07055",0,1,1,1,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA
40.75705949,-73.51073089,"485-17 South Broadway Hicksville, NY 11801",1,1,1,0,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA
40.7401007,-73.99543634,"115 W 18th St Floor 5, New York, NY 10011",1,1,1,0,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA
42.69625319,-76.99401213,"1333 Nutt Rd, Penn Yan, NY 14527",1,1,0,1,0,1,0,0,1,0,0,0,1,NA,NA,NA,NA
36.01517104,-86.59532163,"140 International Blvd, La Vergne, TN 37086",0,1,1,1,0,1,1,0,0,0,1,0,0,NA,NA,NA,NA
40.55907562,-74.40826303,"111 Coolidge St, South Plainfield, NJ 07080",0,1,0,1,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA
44.14270355,-72.84267174,"284 Vermont Rte 100, Warren, VT 05674",0,1,1,0,1,0,0,0,1,0,0,0,1,NA,NA,NA,NA
40.7160817,-74.01535482,"211 N End Ave New York, NY 10282",1,1,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA
