id,latitude,longitude,ny,wholesaler_distributor,harvester_processor,secondary_processor,auction,harvester_processor_scale,secondary_processor_scale,auction_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic
10094,42.540225301408,-78.030291126672,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10095,42.902736835794,-77.304365231719,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10096,42.912225521527,-77.30760113428,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10097,40.803340449611,-73.516077641435,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10098,40.784505134885,-73.838619668545,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10099,41.696392142038,-74.798518286784,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10100,40.802835947232,-73.92025355187,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10101,42.041774904304,-76.858309503431,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10102,42.919150008994,-78.796199915088,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10103,43.240187982647,-78.589204413651,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10104,40.70995408711,-73.938120717684,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10105,40.806700580443,-73.888204005248,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10106,40.703331908571,-73.629149392841,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10107,42.652687484259,-74.287122033618,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10108,42.466923380725,-73.41521746832,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10109,42.369375405757,-73.431167714274,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10110,43.09469751522,-76.090568618898,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10111,40.706831006943,-73.928554594026,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10112,42.707789731748,-75.318716255141,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
10113,40.679720123905,-73.969364421608,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10114,40.65272378152,-74.00964732357,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10115,42.258387385717,-73.792960668792,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10116,42.466474806281,-73.463665591676,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10117,40.995338732651,-73.664753948158,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
