company_name,street_address,city,state,zip_code,ny,wholesaler_distributor,harvester_processor,secondary_processor,auction,harvester_processor_scale,secondary_processor_scale,auction_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic,address,latitude,longitude
Catskill Food Company LLC,53 Main Street,Delhi,NY,13753,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"53 Main Street, Delhi, NY 13753",42.275430288327,-74.919320289495
Cavo Greco Foods,532 East Meadow Avenue,East Meadow,NY,11554,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"532 East Meadow Avenue, East Meadow, NY 11554",40.711339989626,-73.556006439383
Chautauqua County Stockyards,4105 Irons Rd,Sherman,NY,14880,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"4105 Irons Rd, Sherman, NY 14880",42.177147792933,-78.060859988571
Chautauqua County Stockyards LLC,4150 Sherman Mayville Rd,Sherman,NY,14781,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"4150 Sherman Mayville Rd, Sherman, NY 14781",42.180914172994,-79.570293624228
Chef's Choice Cash & Carry Food Distribution Inc,1051 Utica Avenue,Brooklyn,NY,11203,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1051 Utica Avenue, Brooklyn, NY 11203",40.647229527188,-73.929822156334
"Chef's Delight Packing Co., Inc.",94 North 8th Street,Brooklyn,NY,11211,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"94 North 8th Street, Brooklyn, NY 11211",40.719906184084,-73.959687269473
Chihuly,2301 Borden Avenue,Long Island City,NY,11101,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2301 Borden Avenue, Long Island City, NY 11101",40.740044883048,-73.947510940839
"Constance Food Group, DBA Norris Food Services, LLC",545 Johnson Avenue Suite 10,Bohemia,NY,11716,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"545 Johnson Avenue Suite 10, Bohemia, NY 11716",40.776521140776,-73.094517704601
"Crescent Prime Cuts, Ltd.",1970 New Highway,Farmingdale,NY,11735,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1970 New Highway, Farmingdale, NY 11735",40.755724652705,-73.414960752181
"Crescent Specialty Foods, LLC",30 Central Avenue,Farmingdale,NY,11735,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"30 Central Avenue, Farmingdale, NY 11735",40.753050561017,-73.413134349286
"Croghan Meat Market ,Inc.",9824 State Route 812,Croghan,NY,13327,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"9824 State Route 812, Croghan, NY 13327",43.89536264293,-75.392382437972
"Crown I Foods, Inc.",85 Saxon Avenue,Bay Shore,NY,11706,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"85 Saxon Avenue, Bay Shore, NY 11706",40.734569015113,-73.228545455157
"Cup and Char Pepperoni, Inc.",81 Dingens Street,Buffalo,NY,14206,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"81 Dingens Street, Buffalo, NY 14206",42.877824545006,-78.813081677429
D'Empanadas,1110 Rogers Avenue,Brooklyn,NY,11226,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1110 Rogers Avenue, Brooklyn, NY 11226",40.642780448131,-73.951698174999
DAIRY MAID RAVIOLI MFG. CORP.,214 AVENUE U,BROOKLYN,NY,11223,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"214 AVENUE U, BROOKLYN, NY 11223",40.596594706185,-73.976168103147
Damn Good Foods Inc.,1002 Hudson Ave.,Stillwater,NY,12170,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1002 Hudson Ave., Stillwater, NY 12170",42.947004565852,-73.64536751182
Damn Good Foods Inc.,7 Tent Lane,Stillwater,NY,12170,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"7 Tent Lane, Stillwater, NY 12170",42.954247901046,-73.636451238996
"Dave Rama, Inc. (The Cattle Exchange)",4236 County Hwy 18,Delhi,NY,13753,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"4236 County Hwy 18, Delhi, NY 13753",42.310428591604,-74.8359190135
"David Mosner, Inc.",355 Food Center Drive,Bronx,NY,10474,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"355 Food Center Drive, Bronx, NY 10474",40.806204912953,-73.871041997208
Davis Bros. Inc.,4521 County Route 4,Oswego,NY,13126,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"4521 County Route 4, Oswego, NY 13126",43.447486791255,-76.468041729394
Davis Livestock Sales,952 US Highway 11,Gouverneur,NY,13642,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"952 US Highway 11, Gouverneur, NY 13642",44.311848078562,-75.498257209577
DeSola Provisions Corp.,355 Food Center Drive Building B18,Bronx,NY,10474,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"355 Food Center Drive Building B18, Bronx, NY 10474",40.806204912953,-73.871041997208
