company_name,address,latitude,longitude,ny,wholesaler_distributor,harvester_processor,secondary_processor,auction,harvester_processor_scale,secondary_processor_scale,auction_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic
"Frank Wardynski & Sons, Inc.","336 Peckham Street, Buffalo, NY 14206",42.887910822145,-78.841957154129,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"G & L Meat Company, Inc.","111 Gateway Park Drive, North Syracuse, NY 13212",43.123534501133,-76.129144279896,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"GB Green Gastronome, LLC","220-13 Jamaica Avenue, Queens Village, NY 11428",40.719084734031,-73.734234429598,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Gabriele Properties Holding LLC,"255 Mohawk Avenue, Scotia, NY 12302",42.827433896933,-73.967331884955,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Garden Manor Farms, Inc.","355 Food Center Unit F-11, Bronx, NY 10474",40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Glatt Boy's Inc.,"355 Food Center Drive E-14, Bronx, NY 10474",40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Glazier Packing Company Inc.,"7170 US HIghway 11, Potsdam, NY 13676",44.648746547774,-75.049981209821,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Golden Krust Patties Inc.,"3958 Park Avenue, Bronx, NY 10457",40.841723280599,-73.902355514624,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Golden Meat Co., LLC","355 Food Center Drive Units #D22, D23, D24, Bronx, NY 10474",40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Gondola Brand Macaroni Products, Inc","1985 Niagara Street, Buffalo, NY 14207",42.938068421724,-78.904006704173,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Gourmet Boutique, LLC","144-02 158th Street, Jamaica, NY 11434",40.665603190338,-73.779077448099,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Gourmet Boutique, LLC SAT","165-35 145th Drive, Jamaica, NY 11434",40.662210103008,-73.775148982608,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Green Top Farms,"324 Maujer Street, Brooklyn, NY 11206",40.712023422615,-73.936998920536,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Grizzly's Custom Cutting Inc.,"10042 South River Road, Hunt, NY 14846",42.540225301408,-78.030291126672,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
Grossglockner Inc.,"2640 Brickyard Road, Canandaiqua, NY 14424",42.902736835794,-77.304365231719,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Grossglockner, Inc.","5560 Airport Road, Canadaigua, NY 14424",42.912225521527,-77.30760113428,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
HM Halal Munchies Corp.,"300 Michael Drive, Syosset, NY 11791",40.803340449611,-73.516077641435,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
HTE Food Corp.,"1510  130th Street Unit C, College Point, NY 11356",40.784505134885,-73.838619668545,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"HVFG, LLC","346 Airport Road, Mongaup Valley, NY 12762",41.696392142038,-74.798518286784,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Ham Slices, LLC","600 East 132nd Street Unit B, Bronx, NY 10454",40.802835947232,-73.92025355187,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Hamilton Meats Supply Inc.,"1451 Pennsylvania Avenue, Pine City, NY 14871",42.041774904304,-76.858309503431,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Hanzlian's Sausage & Deli,"2351 Genesee Street, Cheektowaga, NY 14225",42.919150008994,-78.796199915088,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Hartland Abattoir Corp,"7968 Ridge Road, Gasport, NY 14067",43.240187982647,-78.589204413651,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
"Hearty Acquisitions, LLC","276 Stagg Street, Brooklyn, NY 11206",40.70995408711,-73.938120717684,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Heinsen Products, Inc.","320 Casanova Street, Bronx, NY 10474",40.806700580443,-73.888204005248,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Hempstead Foodservice Inc.,"52 Chasner Street, Hempstead, NY 11550",40.703331908571,-73.629149392841,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Highland Hollow Farm, LLC","322 Colby Road, Schoharie, NY 12157",42.652687484259,-74.287122033618,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Hilltown Country Smokehouse LLC,"786 US Route 20, New Lebanon, NY 12125",42.466923380725,-73.41521746832,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Hilltown Pork Inc.,"12948 State Route 22, Canaan, NY 12029",42.369375405757,-73.431167714274,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
Hofmann Sausage,"6196 Eastern Avenue, Syracuse, NY 13211",43.09469751522,-76.090568618898,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Hoskie Co. Inc.,"132 Harrison Place, Brooklyn, NY 11237",40.706831006943,-73.928554594026,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Hosking Sales,"6096 NY-8, New Berlin, NY 13411",42.707789731748,-75.318716255141,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
