latitude,longitude,company_name,street_address,city,state,zip_code,ny,wholesaler_distributor,harvester_processor,secondary_processor,harvester_processor_scale,secondary_processor_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic,address
40.753050561017,-73.413134349286,"Crescent Specialty Foods, LLC",30 Central Avenue,Farmingdale,NY,11735,1,0,0,1,0,0,0,0,0,0,0,NA,0,"30 Central Avenue, Farmingdale, NY 11735"
43.89536264293,-75.392382437972,"Croghan Meat Market ,Inc.",9824 State Route 812,Croghan,NY,13327,1,0,0,1,0,0,0,0,0,0,0,NA,0,"9824 State Route 812, Croghan, NY 13327"
40.734569015113,-73.228545455157,"Crown I Foods, Inc.",85 Saxon Avenue,Bay Shore,NY,11706,1,0,0,1,0,0,0,0,0,0,0,NA,0,"85 Saxon Avenue, Bay Shore, NY 11706"
42.877824545006,-78.813081677429,"Cup and Char Pepperoni, Inc.",81 Dingens Street,Buffalo,NY,14206,1,0,0,1,0,0,0,0,0,0,0,NA,0,"81 Dingens Street, Buffalo, NY 14206"
40.642780448131,-73.951698174999,D'Empanadas,1110 Rogers Avenue,Brooklyn,NY,11226,1,0,0,1,0,0,0,0,0,0,0,NA,0,"1110 Rogers Avenue, Brooklyn, NY 11226"
40.596594706185,-73.976168103147,DAIRY MAID RAVIOLI MFG. CORP.,214 AVENUE U,BROOKLYN,NY,11223,1,0,0,1,0,0,0,0,0,0,0,NA,0,"214 AVENUE U, BROOKLYN, NY 11223"
42.947004565852,-73.64536751182,Damn Good Foods Inc.,1002 Hudson Ave.,Stillwater,NY,12170,1,0,0,1,0,0,0,0,0,0,0,NA,0,"1002 Hudson Ave., Stillwater, NY 12170"
42.954247901046,-73.636451238996,Damn Good Foods Inc.,7 Tent Lane,Stillwater,NY,12170,1,0,0,1,0,0,0,0,0,0,0,NA,0,"7 Tent Lane, Stillwater, NY 12170"
40.806204912953,-73.871041997208,"David Mosner, Inc.",355 Food Center Drive,Bronx,NY,10474,1,0,0,1,0,0,0,0,0,0,0,NA,0,"355 Food Center Drive, Bronx, NY 10474"
43.447486791255,-76.468041729394,Davis Bros. Inc.,4521 County Route 4,Oswego,NY,13126,1,0,0,1,0,0,0,0,0,0,0,NA,0,"4521 County Route 4, Oswego, NY 13126"
40.806204912953,-73.871041997208,DeSola Provisions Corp.,355 Food Center Drive Building B18,Bronx,NY,10474,1,0,0,1,0,0,0,0,0,0,0,NA,0,"355 Food Center Drive Building B18, Bronx, NY 10474"
40.831310944445,-73.909104163078,"Del Caribe Meat, Inc",1212 Brook Avenue,Bronx,NY,10456,1,0,0,1,0,0,0,0,0,0,0,NA,0,"1212 Brook Avenue, Bronx, NY 10456"
41.293725553621,-73.907404087277,Delicious Specialty Foods Corp.,1698 Main Street 1st Floor,Peekskill,NY,10566,1,0,0,1,0,0,0,0,0,0,0,NA,0,"1698 Main Street 1st Floor, Peekskill, NY 10566"
